,DATE,Hour,Temperature,Load,month,year,prevmonth,prevyear,rollingLoad5,rollingLoad10,prevMonthLoad,prevYearLoad
0,2002-01-01,1,43.72,1384494.0,1,2002,0,2001,0.0,0.0,1359726.7731854839,1262730.7907534246
1,2002-01-01,2,42.72,1392822.0,1,2002,0,2001,0.0,0.0,1359726.7731854839,1262730.7907534246
2,2002-01-01,3,41.84,1407887.0,1,2002,0,2001,0.0,0.0,1359726.7731854839,1262730.7907534246
3,2002-01-01,4,41.04,1438658.0,1,2002,0,2001,0.0,0.0,1359726.7731854839,1262730.7907534246
4,2002-01-01,5,40.56,1484046.0,1,2002,0,2001,1421581.4,0.0,1359726.7731854839,1262730.7907534246
5,2002-01-01,6,39.56,1559169.0,1,2002,0,2001,1456516.4,0.0,1359726.7731854839,1262730.7907534246
6,2002-01-01,7,38.68,1665253.0,1,2002,0,2001,1511002.6,0.0,1359726.7731854839,1262730.7907534246
7,2002-01-01,8,38.88,1797826.0,1,2002,0,2001,1588990.4,0.0,1359726.7731854839,1262730.7907534246
8,2002-01-01,9,42.16,1871982.0,1,2002,0,2001,1675655.2,0.0,1359726.7731854839,1262730.7907534246
9,2002-01-01,10,46.56,1808095.0,1,2002,0,2001,1740465.0,1581023.2,1359726.7731854839,1262730.7907534246
10,2002-01-01,11,51.48,1664677.0,1,2002,0,2001,1761566.6,1609041.5,1359726.7731854839,1262730.7907534246
11,2002-01-01,12,55.12,1496108.0,1,2002,0,2001,1727737.6,1619370.1,1359726.7731854839,1262730.7907534246
12,2002-01-01,13,55.72,1336017.0,1,2002,0,2001,1635375.8,1612183.1,1359726.7731854839,1262730.7907534246
13,2002-01-01,14,57.16,1205316.0,1,2002,0,2001,1502042.6,1588848.9,1359726.7731854839,1262730.7907534246
14,2002-01-01,15,59.68,1119717.0,1,2002,0,2001,1364367.0,1552416.0,1359726.7731854839,1262730.7907534246
15,2002-01-01,16,59.44,1089214.0,1,2002,0,2001,1249274.4,1505420.5,1359726.7731854839,1262730.7907534246
16,2002-01-01,17,58.24,1134721.0,1,2002,0,2001,1176997.0,1452367.3,1359726.7731854839,1262730.7907534246
17,2002-01-01,18,54.96,1272858.0,1,2002,0,2001,1164365.2,1399870.5,1359726.7731854839,1262730.7907534246
18,2002-01-01,19,53.24,1439264.0,1,2002,0,2001,1211154.8,1356598.7,1359726.7731854839,1262730.7907534246
19,2002-01-01,20,52.48,1451540.0,1,2002,0,2001,1277519.4,1320943.2,1359726.7731854839,1262730.7907534246
